회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
선바이오,2016-01-22,코넥스,(NULL),8,0,56,14,20220921000250.xml
메디젠휴먼케어,2016-01-26,코스닥,(NULL),0,0,0,0,
한솔씨앤피,2016-01-27,코스닥,일반,0,0,0,0,20151229000067.xml
크리스탈신소재,2016-01-28,코스닥,일반,0,0,0,0,20151117000032.xml
유니트론텍,2016-02-02,코스닥,일반,0,0,3,0,20160119000080.xml
아이엠텍,2016-02-03,코스닥,일반,0,0,2,0,20151207000011.xml
제이에스코퍼레이션,2016-02-04,유가증권,일반,0,0,0,0,20160125000066.xml
안트로젠,2016-02-15,코스닥,기술특례,0,0,5,0,20151201000017.xml
케이엠제약,2016-02-24,코넥스,(NULL),0,0,0,0,20150921000009.xml
큐리언트,2016-02-29,코스닥,일반,0,0,10,0,20151125000009.xml
AP위성통신,2016-03-04,코스닥,일반,0,0,1,0,20160909000046.xml
바이옵트로,2016-03-10,코스닥,(NULL),0,0,4,0,20211108000075.xml
팬젠,2016-03-11,코스닥,기술특례,0,0,9,0,20151119000007.xml
씨케이컴퍼니,2016-03-16,코스닥,(NULL),0,0,0,0,
대림씨엔에스,2016-03-30,유가증권,일반,0,0,0,0,20160318000684.xml
SGA시스템즈,2016-03-30,코넥스,(NULL),0,0,2,0,20180122000271.xml
동양파일,2016-04-06,코스닥,일반,0,0,4,0,20160325001607.xml
씨엠에스에듀,2016-04-07,코스닥,일반,0,0,0,0,20160328000299.xml
레이언스,2016-04-11,코스닥,일반,0,0,1,0,20160329001048.xml
로보쓰리,2016-04-20,코스닥,(NULL),0,0,0,0,
인터코스,2016-04-21,코스닥,(NULL),0,0,0,0,
이에스산업,2016-04-26,코스닥,(NULL),0,0,0,0,
엠로,2016-04-28,코넥스,(NULL),0,0,4,1,20210803000205.xml
오스테오닉,2016-05-04,코넥스,(NULL),0,0,24,0,20180206000347.xml
해태제과식품,2016-05-11,유가증권,일반,0,0,2,0,20160426000414.xml
본느,2016-05-16,코넥스,(NULL),0,0,0,0,20151021000029.xml
영현무역,2016-05-20,코스닥,(NULL),0,0,0,0,
용평리조트,2016-05-27,유가증권,일반,0,0,0,0,20160513004264.xml
KC산업,2016-05-31,코스닥,(NULL),0,0,0,0,
나눔테크,2016-06-01,코스닥,(NULL),0,0,0,0,
스페이스솔루션,2016-06-03,코스닥,(NULL),0,0,0,0,
줌인터넷,2016-06-10,코스닥,(NULL),0,0,0,0,
알엔투테크놀로지,2016-06-22,코스닥,일반,0,0,4,0,20160610000146.xml
이비테크,2016-06-22,코스닥,(NULL),0,0,0,0,
녹십자랩셀,2016-06-23,코스닥,기술특례,0,0,3,0,20160613000044.xml
에스티팜,2016-06-23,코스닥,일반,0,0,2,0,20160614000019.xml
해성디에스,2016-06-24,유가증권,일반,0,0,1,0,20160614000307.xml
씨앤에스링크,2016-06-24,코스닥,(NULL),0,0,0,0,
에스엘에스,2016-06-29,코스닥,(NULL),0,0,0,0,
로스웰,2016-06-30,코스닥,일반,0,0,0,0,20160616000123.xml
피앤씨테크,2016-07-04,코스닥,일반,0,0,2,0,20160620000300.xml
바이오리더스,2016-07-07,코스닥,일반,0,0,0,0,
인프라웨어테크놀러지,2016-07-08,코스닥,(NULL),0,0,0,0,
한국토지신탁,2016-07-11,유가증권,일반,0,0,0,0,20160929000022.xml
한국자산신탁,2016-07-13,유가증권,일반,0,0,2,0,20160629000159.xml
시냅스엠,2016-07-13,코스닥,(NULL),0,0,0,0,
대유위니아,2016-07-14,코스닥,일반,0,0,4,0,20180723000060.xml
장원테크,2016-07-15,코스닥,일반,0,0,0,0,20160706000110.xml
동서,2016-07-15,유가증권,일반,0,0,0,0,
제노텍,2016-07-18,코스닥,(NULL),0,0,0,0,
지노믹트리,2016-07-19,코넥스,(NULL),1,0,33,5,20190314000709.xml
옵토팩,2016-07-20,코스닥,일반,0,0,0,0,
에스케이씨에스,2016-07-25,코스닥,(NULL),0,0,0,0,
디오메디칼,2016-07-26,코스닥,(NULL),0,0,0,0,
우리손에프앤지,2016-07-27,코스닥,일반,0,0,0,0,20160714000401.xml
