회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
선바이오,2016-01-22,코넥스,하나증권(주),(NULL),기술평가특례,"평가기관 평가대상기술명 평가결과 평가일 성장성 기반기업 기술보증기금 다양한 PEG유도체 소재, PEGylation 핵심기술 기술평가등급 AA 21.05.10 한국기업데이터 생체고분자 PEG 유도체 소재, PEGylation 기술 응용제품 기술평가등급 A 20."
메디젠휴먼케어,2016-01-26,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
한솔씨앤피,2016-01-27,코스닥,"신한투자증권 주식회사,케이비투자증권(주)",일반,일반,
크리스탈신소재,2016-01-28,코스닥,,일반,일반,
유니트론텍,2016-02-02,코스닥,하나증권주식회사,일반,일반,
아이엠텍,2016-02-03,코스닥,미래에셋증권 주식회사,일반,일반,
제이에스코퍼레이션,2016-02-04,유가증권,엔에이치투자증권(주),일반,일반,
안트로젠,2016-02-15,코스닥,키움증권(주),기술특례,일반,
케이엠제약,2016-02-24,코넥스,아이비케이투자증권(주),(NULL),일반,
큐리언트,2016-02-29,코스닥,한국투자증권(주),일반,기술평가특례,당사는 코스닥시장 상장규정에 의한 기술성장기업으로서 신규상장일이 속하는 사업연도를 포함하여(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3월 미만인 경우에는 그 다음 사업연도) 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받
AP위성통신,2016-03-04,코스닥,KB증권(주),일반,일반,
바이옵트로,2016-03-10,코스닥,한국투자증권(주),(NULL),일반,
팬젠,2016-03-11,코스닥,한국투자증권(주),기술특례,일반,
씨케이컴퍼니,2016-03-16,코스닥,(주)상상인증권,(NULL),(문서없음),
대림씨엔에스,2016-03-30,유가증권,미래에셋증권 주식회사,일반,일반,
SGA시스템즈,2016-03-30,코넥스,SK증권(주),(NULL),일반,
동양파일,2016-04-06,코스닥,대신증권(주),일반,일반,
씨엠에스에듀,2016-04-07,코스닥,"유안타증권(주),삼성증권(주)",일반,일반,
레이언스,2016-04-11,코스닥,대신증권(주),일반,일반,
로보쓰리,2016-04-20,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
인터코스,2016-04-21,코스닥,KB증권(주),(NULL),(문서없음),
이에스산업,2016-04-26,코스닥,해당없음,(NULL),(문서없음),
엠로,2016-04-28,코넥스,한국투자증권(주),(NULL),일반,
오스테오닉,2016-05-04,코넥스,키움증권(주),(NULL),기술평가특례,당사가 벤처기업 특례 요건이 적용됨에도 기술성장기업 특례로 심사 승인을 통과한 이유는 당사의 기술적 우수성 및 이에 기반한 성장성을 인정받고자 기술특례를통하여 상장 승인을 득
해태제과식품,2016-05-11,유가증권,"엔에이치투자증권(주),삼성증권(주)",일반,일반,
본느,2016-05-16,코넥스,현대차증권(주),(NULL),일반,
영현무역,2016-05-20,코스닥,해당없음,(NULL),(문서없음),
용평리조트,2016-05-27,유가증권,미래에셋증권 주식회사,일반,일반,
KC산업,2016-05-31,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
나눔테크,2016-06-01,코스닥,유진투자증권(주),(NULL),(문서없음),
스페이스솔루션,2016-06-03,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
줌인터넷,2016-06-10,코스닥,(주)상상인증권,(NULL),(문서없음),
알엔투테크놀로지,2016-06-22,코스닥,,일반,일반,
이비테크,2016-06-22,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
녹십자랩셀,2016-06-23,코스닥,"하나증권주식회사,케이프투자증권주식회사",기술특례,일반,
에스티팜,2016-06-23,코스닥,"한국투자증권(주),유진투자증권(주)",일반,일반,
해성디에스,2016-06-24,유가증권,엔에이치투자증권(주),일반,일반,
씨앤에스링크,2016-06-24,코스닥,주식회사 아이엠증권,(NULL),(문서없음),
에스엘에스,2016-06-29,코스닥,하나증권(주),(NULL),(문서없음),
로스웰,2016-06-30,코스닥,,일반,일반,
피앤씨테크,2016-07-04,코스닥,케이비투자증권(주),일반,일반,
바이오리더스,2016-07-07,코스닥,,일반,(문서없음),
인프라웨어테크놀러지,2016-07-08,코스닥,키움증권(주),(NULL),(문서없음),
한국토지신탁,2016-07-11,유가증권,,일반,일반,
한국자산신탁,2016-07-13,유가증권,"신한투자증권 주식회사,대신증권(주)",일반,일반,
시냅스엠,2016-07-13,코스닥,엔에이치투자증권(주),(NULL),(문서없음),
대유위니아,2016-07-14,코스닥,신영증권(주),일반,일반,
장원테크,2016-07-15,코스닥,신한투자증권 주식회사,일반,일반,
동서,2016-07-15,유가증권,,일반,(문서없음),
제노텍,2016-07-18,코스닥,미래에셋증권(주),(NULL),(문서없음),
지노믹트리,2016-07-19,코넥스,키움증권(주),(NULL),기술평가특례,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국생명공학연구원과 이크레더블로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. 구분 일반기"
옵토팩,2016-07-20,코스닥,,일반,(문서없음),
에스케이씨에스,2016-07-25,코스닥,해당없음(기술특례상장),(NULL),(문서없음),
디오메디칼,2016-07-26,코스닥,신한투자증권(주),(NULL),(문서없음),
우리손에프앤지,2016-07-27,코스닥,미래에셋증권 주식회사,일반,일반,
엔지스테크널러지,2016-07-28,코스닥,교보증권(주),일반,일반,
두올,2016-07-29,유가증권,미래에셋증권(주),일반,일반,
링크제니시스,2016-07-29,코넥스,하나증권(주),(NULL),일반,
팍스넷,2016-08-01,코스닥,한국투자증권(주),일반,일반,
티케이씨,2016-08-05,코스닥,신한투자증권(주),(NULL),(문서없음),
에코마케팅,2016-08-08,코스닥,한국투자증권(주),일반,일반,
제이에스피브이,2016-08-10,코스닥,해당없음,(NULL),(문서없음),
