회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
선바이오,2016-01-22,코넥스,기술평가특례,(NULL),하나증권(주),바이오/헬스케어,,,67.76,,,,,,"평가기관 평가대상기술명 평가결과 평가일 성장성 기반기업 기술보증기금 다양한 PEG유도체 소재, PEGylation 핵심기술 기술평가등급 AA 21.05.10 한국기업데이터 생체고분자 PEG 유도체 소재, PEGyla"
큐리언트,2016-02-29,코스닥,기술평가특례,일반,한국투자증권(주),바이오/헬스케어,21000,325.08,1274.95,709.15,35.24,110.0,118.6,13.8,당사는 코스닥시장 상장규정에 의한 기술성장기업으로서 신규상장일이 속하는 사업연도를 포함하여(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3월 미만인 경우에는 그 다음 사업연도) 연속하는 3개 사업연도에 대해
오스테오닉,2016-05-04,코넥스,기술평가특례,(NULL),키움증권(주),바이오/헬스케어,,,14322.06,,,,,,당사가 벤처기업 특례 요건이 적용됨에도 기술성장기업 특례로 심사 승인을 통과한 이유는 당사의 기술적 우수성 및 이에 기반한 성장성을 인정받고자 기술특례를통하여 상장 승인을 득
지노믹트리,2016-07-19,코넥스,기술평가특례,(NULL),키움증권(주),바이오/헬스케어,,,104760.03,,,,,,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국생명공학연구원과 이크레더블로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래"
피엔에이치테크,2016-08-16,코넥스,기술평가특례,(NULL),한국투자증권(주),화학/소재,,,,,,,,,"2 공통층재료 상용화 진행 2015.07 특허재료(정공수송층) 양산시작 2015.10 진천 공장 완공 및 가동 2015.11 기술평가등급 2곳 모두 ""A""획득(한국기업데어타 & 기술보증기금) 2016.04 기관투자유"
로고스바이오,2016-11-03,코스닥,기술평가특례,기술특례,신한투자증권 주식회사,기계/장비,25500,180.56,1443.3,,,-30.2,-41.8,-50.4,"해서는 외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국기업데이터와 기술보증기금으로부터 'KRX 기술평가등급 A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 "
수젠텍,2016-11-11,코넥스,기술평가특례,(NULL),한국투자증권(주),바이오/헬스케어,,,,,,,,,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
비플라이소프트,2016-11-16,코스닥,기술평가특례,(NULL),아이비케이투자증권(주),IT/소프트웨어,,,,111.05,0.76,,,,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 2개 기관(한국기업데이터, 나이스평가정보)으로부터 A, BBB 등급을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로"
신라젠,2016-12-06,코스닥,기술평가특례,기술특례,"엔에이치투자증권(주),하나증권주식회사,DB증권주식회사",바이오/헬스케어,15000,1500.0,15000.0,74.98,0.0,-15.0,-15.3,515.3,당사는 기술성장기업으로서 일반 코스닥 상장기업에 비하여 완화된 관리종목 지정기준을 적용 받
유바이오로직스,2017-01-24,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,6000,192.0,3581.1,31.09,0.0,-29.3,-17.2,25.8,"당사는 코스닥시장 상장규정 제2조 제31항에 의한 기술성장기업으로, 동 규정 제6조의 신규상장 심사요건 중 제1항 제4호의 자본상태 요건을 일부 완화 적용받"
