회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
큐리언트,2016-02-29,코스닥,기술평가특례,body,일반,한국투자증권(주),바이오/헬스케어,21000,325.08,1274.95,709.15,35.24,110.0,118.6,13.8
로고스바이오,2016-11-03,코스닥,기술평가특례,body,기술특례,신한투자증권 주식회사,기계/장비,25500,180.56,1443.3,,,-30.2,-41.8,-50.4
신라젠,2016-12-06,코스닥,기술평가특례,body,기술특례,"엔에이치투자증권(주),하나증권주식회사,DB증권주식회사",바이오/헬스케어,15000,1500.0,15000.0,74.98,0.0,-15.0,-15.3,515.3
유바이오로직스,2017-01-24,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,6000,192.0,3581.1,31.09,0.0,-29.3,-17.2,25.8
카페24,2018-02-08,코스닥,이익미실현,body,이익미실현,"미래에셋증권 주식회사,유안타증권(주),한화투자증권(주)",IT/소프트웨어,57000,513.0,10260.0,672.71,42.9,56.3,180.7,96.8
아시아종묘,2018-02-12,코스닥,기술평가특례,body,일반,,소비재/유통,4500,42.75,450.0,239.52,4.39,-6.0,14.0,137.8
엔지켐생명과학,2018-02-21,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,56000,431.2,,258.68,13.25,101.6,60.0,71.2
오스테오닉,2018-02-22,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,,,14322.06,,,,,
에코마이스터,2018-03-15,코스닥,기술평가특례,body,기술특례,"대신증권(주),한화투자증권(주)",기계/장비,5200,69.68,697.28,15.54,0.0,16.0,147.1,36.3
EDGC,2018-06-26,코스닥,기술평가특례,body,일반,SK증권(주),바이오/헬스케어,6500,468.0,4680.0,,,-14.8,-24.4,0.1
아이큐어,2018-07-12,코스닥,기술평가특례,body,기술특례,키움증권(주),바이오/헬스케어,65000,780.0,50160.04,642.1,5.08,-33.1,-50.4,-53.2
올릭스,2018-07-18,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,36000,432.0,4320.0,876.72,74.03,23.6,61.9,17.9
바이오솔루션,2018-08-20,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,29000,435.0,2374.41,174.79,5.04,60.3,53.4,-20.9
로보티즈,2018-10-26,코스닥,기술평가특례,body,일반,미래에셋증권 주식회사,기계/장비,14000,238.0,2380.0,958.6,39.8,21.1,34.3,-17.1
