회사명,상장일,피어표_트랙,득표,총언급,순도,트랙별,본문분류,일치
선바이오,2016-01-22,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
오스테오닉,2016-05-04,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
지노믹트리,2016-07-19,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
링크제니시스,2016-07-29,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
피엔에이치테크,2016-08-16,기술평가특례,26,27,0.96,"{'기술평가특례': 26, '이익미실현': 1}",기술평가특례,Y
수젠텍,2016-11-11,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
비플라이소프트,2016-11-16,기술평가특례,97,105,0.92,"{'기술평가특례': 97, '성장성/사업모델': 8}",기술평가특례,Y
유바이오로직스,2017-01-24,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
피씨엘,2017-02-23,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
아스타,2017-03-20,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
샘코,2017-09-15,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
앱클론,2017-09-18,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
티에스아이,2017-10-30,성장성/사업모델,2,2,1.0,{'성장성/사업모델': 2},이익미실현,N
미디어젠,2017-11-10,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
카페24,2018-02-08,성장성/사업모델,4,6,0.67,"{'성장성/사업모델': 4, '이익미실현': 2}",이익미실현,N
아시아종묘,2018-02-12,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
엔지켐생명과학,2018-02-21,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
EDGC,2018-06-26,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
아이큐어,2018-07-12,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
올릭스,2018-07-18,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
리메드,2018-08-14,성장성/사업모델,4,6,0.67,"{'성장성/사업모델': 4, '이익미실현': 2}",이익미실현,N
바이오솔루션,2018-08-20,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
로보티즈,2018-10-26,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
옵티팜,2018-10-26,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
셀리버리,2018-11-09,성장성/사업모델,11,13,0.85,"{'성장성/사업모델': 11, '이익미실현': 2}",성장성/사업모델,Y
파멥신,2018-11-21,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
싸이토젠,2018-11-22,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
티앤알바이오팹,2018-11-28,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
네오펙트,2018-11-28,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
전진바이오팜,2018-12-14,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
프로테옴텍,2018-12-19,기술평가특례,87,96,0.91,"{'기술평가특례': 87, '성장성/사업모델': 9}",기술평가특례,Y
에이비엘바이오,2018-12-19,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
유틸렉스,2018-12-24,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
비피도,2018-12-26,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
이노테라피,2019-02-01,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
셀리드,2019-02-20,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
아모그린텍,2019-03-29,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
마이크로디지탈,2019-06-05,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
압타바이오,2019-06-12,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
나노브릭,2019-08-19,기술평가특례,1,1,1.0,{'기술평가특례': 1},일반,N
라닉스,2019-09-18,성장성/사업모델,11,13,0.85,"{'성장성/사업모델': 11, '이익미실현': 2}",성장성/사업모델,Y
올리패스,2019-09-20,성장성/사업모델,11,13,0.85,"{'성장성/사업모델': 11, '이익미실현': 2}",성장성/사업모델,Y
라파스,2019-11-11,성장성/사업모델,11,13,0.85,"{'성장성/사업모델': 11, '이익미실현': 2}",성장성/사업모델,Y
제테마,2019-11-14,성장성/사업모델,4,6,0.67,"{'성장성/사업모델': 4, '이익미실현': 2}",이익미실현,N
티움바이오,2019-11-22,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
신테카바이오,2019-12-17,성장성/사업모델,9,9,1.0,{'성장성/사업모델': 9},일반,N
메드팩토,2019-12-19,기술평가특례,1,1,1.0,{'기술평가특례': 1},기술평가특례,Y
브릿지바이오,2019-12-20,성장성/사업모델,9,9,1.0,{'성장성/사업모델': 9},성장성/사업모델,Y
애드바이오텍,2019-12-24,기술평가특례,20,21,0.95,"{'기술평가특례': 20, '성장성/사업모델': 1}",기술평가특례,Y
